name,confidence,models,roles,organizations,source_count,years,sources
דוד וולך,high,dictabert+hebert,"במאי, מפיק",קרן קולנוע ערבה,6,2023,https://aravaff.co.il/archive/2023/#main; https://aravaff.co.il/movies/%d7%93%d7%a0%d7%99%d7%90%d7%9c-%d7%90%d7%95%d7%99%d7%a2%d7%a8%d7%91%d7%90%d7%9a/#main; https://aravaff.co.il/archive/2023/
צ'טאק,medium,dictabert,"במאי, שחקן",קרן קולנוע ערבה,6,2023,https://aravaff.co.il/movies/%d7%97%d7%93%d7%a8-%d7%94%d7%9e%d7%95%d7%a8%d7%99%d7%9d/#main; https://aravaff.co.il/archive/2023/#main; https://aravaff.co.il/movies/%d7%97%d7%93%d7%a8-%d7%94%d7%9e%d7%95%d7%a8%d7%99%d7%9d/
אקי קאו,medium,dictabert,במאי,קרן קולנוע ערבה,6,2023,https://aravaff.co.il/en/movies/%d7%a2%d7%9c%d7%99-%d7%a9%d7%9c%d7%9b%d7%aa/#main; https://aravaff.co.il/archive/2023/#main; https://aravaff.co.il/movies/%d7%a2%d7%9c%d7%99-%d7%a9%d7%9c%d7%9b%d7%aa/#main
שירה גפן,high,dictabert+hebert,"במאי, מפיק","קרן הקולנוע ערבה, קרן קולנוע ערבה",6,2024,https://aravaff.co.il/movies/%d7%90%d7%95%d7%a4%d7%a7-%d7%94%d7%90%d7%99%d7%a8%d7%95%d7%a2%d7%99%d7%9d/; https://aravaff.co.il/archive/2024/#main; https://aravaff.co.il/movies/%d7%90%d7%95%d7%a4%d7%a7-%d7%94%d7%90%d7%99%d7%a8%d7%95%d7%a2%d7%99%d7%9d/#main
דילן,medium,dictabert,"במאי, מפיק","קרן הקולנוע ערבה, קרן קולנוע ערבה",6,2024,https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%a0%d7%a6%d7%b3/; https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%a0%d7%a6%d7%b3/#main; https://aravaff.co.il/archive/2024/#main
יעל רייספלד,medium,hebert,"במאי, מפיק","קרן הקולנוע ערבה, קרן קולנוע ערבה",6,"2023,2024",https://aravaff.co.il/movies/%d7%93%d7%92-%d7%97%d7%9d/#main; https://aravaff.co.il/movies/%d7%93%d7%92-%d7%97%d7%9d/; https://aravaff.co.il/archive/2024/#main
דפנה אוודיש גולן,medium,hebert,"במאי, מפיק","קרן הקולנוע ערבה, קרן קולנוע ערבה",6,"2023,2024",https://aravaff.co.il/movies/%d7%9c%d7%a9%d7%97%d7%95%d7%aa-%d7%a2%d7%9d-%d7%9b%d7%a0%d7%a4%d7%99%d7%99%d7%9d/#main; https://aravaff.co.il/movies/%d7%9c%d7%a9%d7%97%d7%95%d7%aa-%d7%a2%d7%9d-%d7%9b%d7%a0%d7%a4%d7%99%d7%99%d7%9d/; https://aravaff.co.il/archive/2024/#main
רוני בהט,high,dictabert+hebert,"במאי, מפיק","קרן הקולנוע ערבה, קרן קולנוע ערבה",6,2024,https://aravaff.co.il/movies/%d7%92%d7%91%d7%95%d7%9c/#main; https://aravaff.co.il/archive/2024/#main; https://aravaff.co.il/movies/%d7%92%d7%91%d7%95%d7%9c/
סיון לוי זק,medium,dictabert,"במאי, מפיק","קרן הקולנוע ערבה, קרן קולנוע ערבה",6,2024,https://aravaff.co.il/movies/%d7%97%d7%9c%d7%9c/; https://aravaff.co.il/movies/%d7%97%d7%9c%d7%9c/#main; https://aravaff.co.il/archive/2024/#main
גולן,medium,dictabert,"במאי, מפיק","קרן הקולנוע ערבה, קרן קולנוע ערבה",6,"2023,2024",https://aravaff.co.il/movies/%d7%9c%d7%a9%d7%97%d7%95%d7%aa-%d7%a2%d7%9d-%d7%9b%d7%a0%d7%a4%d7%99%d7%99%d7%9d/#main; https://aravaff.co.il/movies/%d7%9c%d7%a9%d7%97%d7%95%d7%aa-%d7%a2%d7%9d-%d7%9b%d7%a0%d7%a4%d7%99%d7%99%d7%9d/; https://aravaff.co.il/archive/2024/#main
כליל,high,dictabert+hebert,"במאי, מפיק","קרן הקולנוע ערבה, קרן קולנוע ערבה",6,2024,https://aravaff.co.il/movies/%d7%a9%d7%9b%d7%91%d7%95%d7%aa/#main; https://aravaff.co.il/archive/2024/#main; https://aravaff.co.il/movies/%d7%a9%d7%9b%d7%91%d7%95%d7%aa/
ועומר בן - דוד,medium,dictabert,,"קרן הקולנוע ערבה, קרן קולנוע ערבה",6,2024,https://aravaff.co.il/movies/%d7%9e%d7%9b%d7%aa%d7%91-%d7%90%d7%9c-%d7%94%d7%90%d7%91/; https://aravaff.co.il/archive/2024/#main; https://aravaff.co.il/movies/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%94%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a2%d7%a8%d7%91%d7%94/#main
יעל רייס,high,dictabert+hebert,"במאי, מפיק","קרן הקולנוע ערבה, קרן קולנוע ערבה",6,"2023,2024",https://aravaff.co.il/movies/%d7%93%d7%92-%d7%97%d7%9d/#main; https://aravaff.co.il/movies/%d7%93%d7%92-%d7%97%d7%9d/; https://aravaff.co.il/archive/2024/#main
טלי,medium,dictabert,"במאי, מפיק","קרן הקולנוע ערבה, קרן קולנוע ערבה",6,"2023,2024",https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/; https://aravaff.co.il/archive/2024/#main; https://aravaff.co.il/archive/2024/
דפנה אוו,medium,dictabert,"במאי, מפיק","קרן הקולנוע ערבה, קרן קולנוע ערבה",6,"2023,2024",https://aravaff.co.il/movies/%d7%9c%d7%a9%d7%97%d7%95%d7%aa-%d7%a2%d7%9d-%d7%9b%d7%a0%d7%a4%d7%99%d7%99%d7%9d/#main; https://aravaff.co.il/movies/%d7%9c%d7%a9%d7%97%d7%95%d7%aa-%d7%a2%d7%9d-%d7%9b%d7%a0%d7%a4%d7%99%d7%99%d7%9d/; https://aravaff.co.il/archive/2024/#main
רונה סגל,high,dictabert+hebert,"במאי, מפיק","קרן הקולנוע ערבה, קרן קולנוע ערבה",6,2024,https://aravaff.co.il/archive/2024/#main; https://aravaff.co.il/movies/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%94%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a2%d7%a8%d7%91%d7%94/#main; https://aravaff.co.il/archive/2024/
##ים,medium,hebert,,"קרן קולנוע נגב, קרן הקולנוע ערבה, קרן קולנוע ערבה",6,"2023,2024,2025",https://aravaff.co.il/archive/2025/; https://aravaff.co.il/archive/2024/#main; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/
דייגו סס,high,dictabert+hebert,במאי,"קרן קולנוע ערבה, קרן קולנוע נגב",6,"2020,2021,2025",https://aravaff.co.il/archive/2025/#main; https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/#main; https://aravaff.co.il/archive/2025/
סרגיי לוז,medium,dictabert,במאי,"קרן קולנוע ערבה, קרן קולנוע נגב",6,"2020,2021,2025",https://aravaff.co.il/archive/2025/#main; https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/#main; https://aravaff.co.il/archive/2025/
' לו אנטוניו,medium,dictabert,,"קרן קולנוע ערבה, קרן קולנוע נגב",6,2025,https://aravaff.co.il/movies/%d7%99%d7%a6%d7%a8%d7%99%d7%9d/; https://aravaff.co.il/archive/2025/#main; https://aravaff.co.il/archive/2025/
רומן פולנסקי,high,dictabert+hebert,"במאי, תסריטאי, מפיק","קרן קולנוע ערבה, קרן קולנוע נגב",6,"2020,2021,2025",https://aravaff.co.il/archive/2025/#main; https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/#main; https://aravaff.co.il/archive/2025/
מנד,medium,dictabert,"במאי, מנהל, שחקן","קרן קולנוע ערבה, קרן קולנוע נגב",6,"2020,2021,2025",https://aravaff.co.il/archive/2025/#main; https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/#main; https://aravaff.co.il/movies/%d7%94%d7%a1%d7%95%d7%9b%d7%9f-%d7%94%d7%97%d7%a9%d7%90%d7%99/#main
אורן גרנר,medium,hebert,"במאי, מפיק","קרן קולנוע ערבה, קרן קולנוע נגב",6,"2020,2021,2025",https://aravaff.co.il/movies/%d7%94%d7%aa%d7%94-%d7%a9%d7%9c-%d7%93%d7%9c%d7%99%d7%94-%d7%9e%d7%98%d7%99%d7%9c-%d7%a6%d7%9c-%d7%a2%d7%9c-%d7%94%d7%a8-%d7%a4%d7%95%d7%92%d7%99/#main; https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/#main; https://aravaff.co.il/movies/%d7%94%d7%aa%d7%94-%d7%a9%d7%9c-%d7%93%d7%9c%d7%99%d7%94-%d7%9e%d7%98%d7%99%d7%9c-%d7%a6%d7%9c-%d7%a2%d7%9c-%d7%94%d7%a8-%d7%a4%d7%95%d7%92%d7%99/
דניאל,high,dictabert+hebert,מפיק,"קרן קולנוע ערבה, קרן קולנוע נגב",6,"2020,2021,2023,2025",https://aravaff.co.il/movies/%d7%9e%d7%98%d7%90%d7%95%d7%a8%d7%99%d7%9d/; https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/#main; https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/
אלונה,high,dictabert+hebert,"במאי, מפיק",קרן קולנוע ערבה,6,2024,https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%a0%d7%a6%d7%b3/; https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%a0%d7%a6%d7%b3/#main; https://aravaff.co.il/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a2%d7%a8%d7%91%d7%94/#main
