name,confidence,models,roles,organizations,source_count,years,sources
anatoliy beliy,medium,hebert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%9d-%d7%a9%d7%9c-%d7%a9%d7%a0%d7%99-%d7%a4%d7%a8%d7%a7%d7%9c%d7%99%d7%98%d7%99%d7%9d/#main; https://aravaff.co.il/movies/%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%9d-%d7%a9%d7%9c-%d7%a9%d7%a0%d7%99-%d7%a4%d7%a8%d7%a7%d7%9c%d7%99%d7%98%d7%99%d7%9d/
christiaan verbeek,medium,hebert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%9d-%d7%a9%d7%9c-%d7%a9%d7%a0%d7%99-%d7%a4%d7%a8%d7%a7%d7%9c%d7%99%d7%98%d7%99%d7%9d/#main; https://aravaff.co.il/movies/%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%9d-%d7%a9%d7%9c-%d7%a9%d7%a0%d7%99-%d7%a4%d7%a8%d7%a7%d7%9c%d7%99%d7%98%d7%99%d7%9d/
oleg mutu,medium,hebert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%9d-%d7%a9%d7%9c-%d7%a9%d7%a0%d7%99-%d7%a4%d7%a8%d7%a7%d7%9c%d7%99%d7%98%d7%99%d7%9d/#main; https://aravaff.co.il/movies/%d7%a1%d7%99%d7%a4%d7%95%d7%a8%d7%9d-%d7%a9%d7%9c-%d7%a9%d7%a0%d7%99-%d7%a4%d7%a8%d7%a7%d7%9c%d7%99%d7%98%d7%99%d7%9d/
monika willi,medium,hebert,,קרן קולנוע ערבה,2,,https://aravaff.co.il/movies/%d7%a1%d7%a8%d7%98-%d7%9c%d7%91%d7%9f/; https://aravaff.co.il/movies/%d7%a1%d7%a8%d7%98-%d7%9c%d7%91%d7%9f/#main
michael haneke,medium,hebert,,קרן קולנוע ערבה,2,,https://aravaff.co.il/movies/%d7%a1%d7%a8%d7%98-%d7%9c%d7%91%d7%9f/; https://aravaff.co.il/movies/%d7%a1%d7%a8%d7%98-%d7%9c%d7%91%d7%9f/#main
jean - pierre la,medium,dictabert,,קרן קולנוע ערבה,2,,https://aravaff.co.il/movies/%d7%a1%d7%a8%d7%98-%d7%9c%d7%91%d7%9f/; https://aravaff.co.il/movies/%d7%a1%d7%a8%d7%98-%d7%9c%d7%91%d7%9f/#main
##obi,medium,hebert,,קרן קולנוע ערבה,2,,https://aravaff.co.il/movies/%d7%a1%d7%a8%d7%98-%d7%9c%d7%91%d7%9f/; https://aravaff.co.il/movies/%d7%a1%d7%a8%d7%98-%d7%9c%d7%91%d7%9f/#main
ernst j,medium,hebert,,קרן קולנוע ערבה,2,,https://aravaff.co.il/movies/%d7%a1%d7%a8%d7%98-%d7%9c%d7%91%d7%9f/; https://aravaff.co.il/movies/%d7%a1%d7%a8%d7%98-%d7%9c%d7%91%d7%9f/#main
christian ber,medium,dictabert,,קרן קולנוע ערבה,2,,https://aravaff.co.il/movies/%d7%a1%d7%a8%d7%98-%d7%9c%d7%91%d7%9f/; https://aravaff.co.il/movies/%d7%a1%d7%a8%d7%98-%d7%9c%d7%91%d7%9f/#main
אופק האירועים,medium,hebert,במאי,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/movies/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%94%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a2%d7%a8%d7%91%d7%94/; https://aravaff.co.il/movies/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%94%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a2%d7%a8%d7%91%d7%94/#main
##ursat uresin,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%a2%d7%9c-%d7%a2%d7%a9%d7%91%d7%99%d7%9d-%d7%99%d7%91%d7%a9%d7%99%d7%9d/#main; https://aravaff.co.il/movies/%d7%a2%d7%9c-%d7%a2%d7%a9%d7%91%d7%99%d7%9d-%d7%99%d7%91%d7%a9%d7%99%d7%9d/
מרווה דיז,medium,dictabert,"במאי, שחקן",קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%a2%d7%9c-%d7%a2%d7%a9%d7%91%d7%99%d7%9d-%d7%99%d7%91%d7%a9%d7%99%d7%9d/#main; https://aravaff.co.il/movies/%d7%a2%d7%9c-%d7%a2%d7%a9%d7%91%d7%99%d7%9d-%d7%99%d7%91%d7%a9%d7%99%d7%9d/
kur,medium,dictabert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%a2%d7%9c-%d7%a2%d7%a9%d7%91%d7%99%d7%9d-%d7%99%d7%91%d7%a9%d7%99%d7%9d/#main; https://aravaff.co.il/movies/%d7%a2%d7%9c-%d7%a2%d7%a9%d7%91%d7%99%d7%9d-%d7%99%d7%91%d7%a9%d7%99%d7%9d/
מרווה דיזדר,medium,hebert,"במאי, שחקן",קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%a2%d7%9c-%d7%a2%d7%a9%d7%91%d7%99%d7%9d-%d7%99%d7%91%d7%a9%d7%99%d7%9d/#main; https://aravaff.co.il/movies/%d7%a2%d7%9c-%d7%a2%d7%a9%d7%91%d7%99%d7%9d-%d7%99%d7%91%d7%a9%d7%99%d7%9d/
סאמט,high,dictabert+hebert,מנהל,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%a2%d7%9c-%d7%a2%d7%a9%d7%91%d7%99%d7%9d-%d7%99%d7%91%d7%a9%d7%99%d7%9d/#main; https://aravaff.co.il/movies/%d7%a2%d7%9c-%d7%a2%d7%a9%d7%91%d7%99%d7%9d-%d7%99%d7%91%d7%a9%d7%99%d7%9d/
אקי קאוריסמקי,medium,hebert,במאי,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%a2%d7%9c%d7%99-%d7%a9%d7%9c%d7%9b%d7%aa/; https://aravaff.co.il/movies/%d7%a2%d7%9c%d7%99-%d7%a9%d7%9c%d7%9b%d7%aa/#main
mark lwoff,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%a2%d7%9c%d7%99-%d7%a9%d7%9c%d7%9b%d7%aa/; https://aravaff.co.il/movies/%d7%a2%d7%9c%d7%99-%d7%a9%d7%9c%d7%9b%d7%aa/#main
aki kaurismaki,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%a2%d7%9c%d7%99-%d7%a9%d7%9c%d7%9b%d7%aa/; https://aravaff.co.il/movies/%d7%a2%d7%9c%d7%99-%d7%a9%d7%9c%d7%9b%d7%aa/#main
alma poyst,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%a2%d7%9c%d7%99-%d7%a9%d7%9c%d7%9b%d7%aa/; https://aravaff.co.il/movies/%d7%a2%d7%9c%d7%99-%d7%a9%d7%9c%d7%9b%d7%aa/#main
timo salminen,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%a2%d7%9c%d7%99-%d7%a9%d7%9c%d7%9b%d7%aa/; https://aravaff.co.il/movies/%d7%a2%d7%9c%d7%99-%d7%a9%d7%9c%d7%9b%d7%aa/#main
קאוריסמקי,medium,hebert,במאי,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%a2%d7%9c%d7%99-%d7%a9%d7%9c%d7%9b%d7%aa/; https://aravaff.co.il/movies/%d7%a2%d7%9c%d7%99-%d7%a9%d7%9c%d7%9b%d7%aa/#main
##pu koivu,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%a2%d7%9c%d7%99-%d7%a9%d7%9c%d7%9b%d7%aa/; https://aravaff.co.il/movies/%d7%a2%d7%9c%d7%99-%d7%a9%d7%9c%d7%9b%d7%aa/#main
misha jaari,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%a2%d7%9c%d7%99-%d7%a9%d7%9c%d7%9b%d7%aa/; https://aravaff.co.il/movies/%d7%a2%d7%9c%d7%99-%d7%a9%d7%9c%d7%9b%d7%aa/#main
מינימום,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%a2%d7%9c%d7%99-%d7%a9%d7%9c%d7%9b%d7%aa/; https://aravaff.co.il/movies/%d7%a2%d7%9c%d7%99-%d7%a9%d7%9c%d7%9b%d7%aa/#main
אקי קאוריס,medium,hebert,במאי,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%a2%d7%9c%d7%99-%d7%a9%d7%9c%d7%9b%d7%aa/; https://aravaff.co.il/movies/%d7%a2%d7%9c%d7%99-%d7%a9%d7%9c%d7%9b%d7%aa/#main
heikkila,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%a2%d7%9c%d7%99-%d7%a9%d7%9c%d7%9b%d7%aa/; https://aravaff.co.il/movies/%d7%a2%d7%9c%d7%99-%d7%a9%d7%9c%d7%9b%d7%aa/#main
קאו,medium,dictabert,במאי,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%a2%d7%9c%d7%99-%d7%a9%d7%9c%d7%9b%d7%aa/; https://aravaff.co.il/movies/%d7%a2%d7%9c%d7%99-%d7%a9%d7%9c%d7%9b%d7%aa/#main
gre,medium,dictabert,,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/movies/%d7%a2%d7%9d-%d7%94%d7%96%d7%a8%d7%9d/; https://aravaff.co.il/movies/%d7%a2%d7%9d-%d7%94%d7%96%d7%a8%d7%9d/#main
mat,medium,dictabert,,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/movies/%d7%a2%d7%9d-%d7%94%d7%96%d7%a8%d7%9d/; https://aravaff.co.il/movies/%d7%a2%d7%9d-%d7%94%d7%96%d7%a8%d7%9d/#main
גינטס זילבאלו,medium,hebert,"במאי, מפיק",קרן קולנוע ערבה,2,2024,https://aravaff.co.il/movies/%d7%a2%d7%9d-%d7%94%d7%96%d7%a8%d7%9d/; https://aravaff.co.il/movies/%d7%a2%d7%9d-%d7%94%d7%96%d7%a8%d7%9d/#main
ron dy,medium,dictabert,,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/movies/%d7%a2%d7%9d-%d7%94%d7%96%d7%a8%d7%9d/; https://aravaff.co.il/movies/%d7%a2%d7%9d-%d7%94%d7%96%d7%a8%d7%9d/#main
daniel,medium,dictabert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/; https://aravaff.co.il/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/#main
גוסטב ( סטלן סקארסגארד ),medium,hebert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/; https://aravaff.co.il/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/#main
andre,medium,dictabert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/; https://aravaff.co.il/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/#main
רנטה ריינס,medium,dictabert,במאי,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/; https://aravaff.co.il/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/#main
רנטה ריינסב,medium,hebert,במאי,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/; https://aravaff.co.il/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/#main
פאנינג ),medium,hebert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/; https://aravaff.co.il/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/#main
maria ekerh,medium,hebert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/; https://aravaff.co.il/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/#main
אל פאני,medium,dictabert,שחקן,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/; https://aravaff.co.il/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/#main
גוסטב,medium,dictabert,במאי,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/; https://aravaff.co.il/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/#main
נורה,high,dictabert+hebert,"במאי, שחקן",קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/; https://aravaff.co.il/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/#main
joachim trier,medium,hebert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/; https://aravaff.co.il/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/#main
lie,medium,dictabert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/; https://aravaff.co.il/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/#main
eskil vogt,medium,hebert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/; https://aravaff.co.il/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/#main
anders danielsen lie,medium,hebert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/; https://aravaff.co.il/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/#main
מסלול,medium,hebert,שחקן,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/; https://aravaff.co.il/movies/%d7%a2%d7%a8%d7%9a-%d7%a1%d7%a0%d7%98%d7%99%d7%9e%d7%a0%d7%98%d7%9c%d7%99/#main
פוניו וסוסקה,medium,hebert,,קרן קולנוע ערבה,2,,https://aravaff.co.il/movies/%d7%a4%d7%95%d7%a0%d7%99%d7%95-%d7%a2%d7%9c-%d7%94%d7%a6%d7%95%d7%a7-%d7%9c%d7%99%d7%93-%d7%94%d7%99%d7%9d/#main; https://aravaff.co.il/movies/%d7%a4%d7%95%d7%a0%d7%99%d7%95-%d7%a2%d7%9c-%d7%94%d7%a6%d7%95%d7%a7-%d7%9c%d7%99%d7%93-%d7%94%d7%99%d7%9d/
פוניו,medium,hebert,,קרן קולנוע ערבה,2,,https://aravaff.co.il/movies/%d7%a4%d7%95%d7%a0%d7%99%d7%95-%d7%a2%d7%9c-%d7%94%d7%a6%d7%95%d7%a7-%d7%9c%d7%99%d7%93-%d7%94%d7%99%d7%9d/#main; https://aravaff.co.il/movies/%d7%a4%d7%95%d7%a0%d7%99%d7%95-%d7%a2%d7%9c-%d7%94%d7%a6%d7%95%d7%a7-%d7%9c%d7%99%d7%93-%d7%94%d7%99%d7%9d/
סוסקה,medium,hebert,,קרן קולנוע ערבה,2,,https://aravaff.co.il/movies/%d7%a4%d7%95%d7%a0%d7%99%d7%95-%d7%a2%d7%9c-%d7%94%d7%a6%d7%95%d7%a7-%d7%9c%d7%99%d7%93-%d7%94%d7%99%d7%9d/#main; https://aravaff.co.il/movies/%d7%a4%d7%95%d7%a0%d7%99%d7%95-%d7%a2%d7%9c-%d7%94%d7%a6%d7%95%d7%a7-%d7%9c%d7%99%d7%93-%d7%94%d7%99%d7%9d/
genzaburo yoshino,medium,hebert,,קרן קולנוע ערבה,2,,https://aravaff.co.il/movies/%d7%a4%d7%95%d7%a0%d7%99%d7%95-%d7%a2%d7%9c-%d7%94%d7%a6%d7%95%d7%a7-%d7%9c%d7%99%d7%93-%d7%94%d7%99%d7%9d/#main; https://aravaff.co.il/movies/%d7%a4%d7%95%d7%a0%d7%99%d7%95-%d7%a2%d7%9c-%d7%94%d7%a6%d7%95%d7%a7-%d7%9c%d7%99%d7%93-%d7%94%d7%99%d7%9d/
takeshi seyama,medium,hebert,,קרן קולנוע ערבה,2,,https://aravaff.co.il/movies/%d7%a4%d7%95%d7%a0%d7%99%d7%95-%d7%a2%d7%9c-%d7%94%d7%a6%d7%95%d7%a7-%d7%9c%d7%99%d7%93-%d7%94%d7%99%d7%9d/#main; https://aravaff.co.il/movies/%d7%a4%d7%95%d7%a0%d7%99%d7%95-%d7%a2%d7%9c-%d7%94%d7%a6%d7%95%d7%a7-%d7%9c%d7%99%d7%93-%d7%94%d7%99%d7%9d/
פוני,medium,dictabert,,קרן קולנוע ערבה,2,,https://aravaff.co.il/movies/%d7%a4%d7%95%d7%a0%d7%99%d7%95-%d7%a2%d7%9c-%d7%94%d7%a6%d7%95%d7%a7-%d7%9c%d7%99%d7%93-%d7%94%d7%99%d7%9d/#main; https://aravaff.co.il/movies/%d7%a4%d7%95%d7%a0%d7%99%d7%95-%d7%a2%d7%9c-%d7%94%d7%a6%d7%95%d7%a7-%d7%9c%d7%99%d7%93-%d7%94%d7%99%d7%9d/
##זאקי,medium,hebert,,קרן קולנוע ערבה,2,,https://aravaff.co.il/movies/%d7%a4%d7%95%d7%a0%d7%99%d7%95-%d7%a2%d7%9c-%d7%94%d7%a6%d7%95%d7%a7-%d7%9c%d7%99%d7%93-%d7%94%d7%99%d7%9d/#main; https://aravaff.co.il/movies/%d7%a4%d7%95%d7%a0%d7%99%d7%95-%d7%a2%d7%9c-%d7%94%d7%a6%d7%95%d7%a7-%d7%9c%d7%99%d7%93-%d7%94%d7%99%d7%9d/
אלי גורנשטיין,medium,hebert,"במאי, מפיק",קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/#main; https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/
אלי גור,medium,dictabert,"במאי, מפיק",קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/#main; https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/
שני ברט עיצוב,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/#main; https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/
זהר ברוק,high,dictabert+hebert,"במאי, מפיק",קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/#main; https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/
הילה גיא,high,dictabert+hebert,"במאי, מפיק",קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/#main; https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/
יעל עמית,medium,hebert,"במאי, מפיק",קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/#main; https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/
ניל גיבס,medium,hebert,מפיק,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/#main; https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/
טלילה פרנק מדינה,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/#main; https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/
שפיר סרוסי,high,dictabert+hebert,"במאי, מפיק",קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/#main; https://aravaff.co.il/movies/%d7%a4%d7%a0%d7%a1-%d7%91%d7%95%d7%93%d7%93/
ימי,medium,hebert,,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%94-%d7%a4%d7%a8%d7%94/; https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%94-%d7%a4%d7%a8%d7%94/#main
לואיז קורבוזייה,medium,hebert,במאי,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%94-%d7%a4%d7%a8%d7%94/; https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%94-%d7%a4%d7%a8%d7%94/#main
טוטון,medium,hebert,,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%94-%d7%a4%d7%a8%d7%94/; https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%94-%d7%a4%d7%a8%d7%94/#main
טוטו,medium,dictabert,,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%94-%d7%a4%d7%a8%d7%94/; https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%94-%d7%a4%d7%a8%d7%94/#main
elio balezeau,medium,hebert,,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%94-%d7%a4%d7%a8%d7%94/; https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%94-%d7%a4%d7%a8%d7%94/#main
ז קורבוזייה,medium,hebert,במאי,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%94-%d7%a4%d7%a8%d7%94/; https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%94-%d7%a4%d7%a8%d7%94/#main
dimitri baudry,medium,hebert,,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%94-%d7%a4%d7%a8%d7%94/; https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%94-%d7%a4%d7%a8%d7%94/#main
hun,medium,dictabert,,קרן קולנוע ערבה,2,,https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%99%d7%96-%d7%98%d7%a7%d7%a1%d7%a1/#main; https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%99%d7%96-%d7%98%d7%a7%d7%a1%d7%a1/
sam shepard,medium,hebert,,קרן קולנוע ערבה,2,,https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%99%d7%96-%d7%98%d7%a7%d7%a1%d7%a1/#main; https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%99%d7%96-%d7%98%d7%a7%d7%a1%d7%a1/
rob,medium,dictabert,,קרן קולנוע ערבה,2,,https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%99%d7%96-%d7%98%d7%a7%d7%a1%d7%a1/#main; https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%99%d7%96-%d7%98%d7%a7%d7%a1%d7%a1/
m. kit carson,medium,hebert,,קרן קולנוע ערבה,2,,https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%99%d7%96-%d7%98%d7%a7%d7%a1%d7%a1/#main; https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%99%d7%96-%d7%98%d7%a7%d7%a1%d7%a1/
אמריק,medium,hebert,במאי,קרן קולנוע ערבה,2,,https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%99%d7%96-%d7%98%d7%a7%d7%a1%d7%a1/#main; https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%99%d7%96-%d7%98%d7%a7%d7%a1%d7%a1/
kit car,medium,dictabert,,קרן קולנוע ערבה,2,,https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%99%d7%96-%d7%98%d7%a7%d7%a1%d7%a1/#main; https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%99%d7%96-%d7%98%d7%a7%d7%a1%d7%a1/
har,medium,dictabert,,קרן קולנוע ערבה,2,,https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%99%d7%96-%d7%98%d7%a7%d7%a1%d7%a1/#main; https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%99%d7%96-%d7%98%d7%a7%d7%a1%d7%a1/
stock,medium,dictabert,,קרן קולנוע ערבה,2,,https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%99%d7%96-%d7%98%d7%a7%d7%a1%d7%a1/#main; https://aravaff.co.il/movies/%d7%a4%d7%a8%d7%99%d7%96-%d7%98%d7%a7%d7%a1%d7%a1/
