URLs to scrape: 1491
  [82/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%a0%d7%95-%d7%94%d7%a0%d7%95%d7%a1%d7%a2%d7%99%d7%9d-%d7%91%d7%96%d7%9e%d7%9f/ (21780 bytes)
  [83/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%a0%d7%98%d7%99%d7%a9%d7%9e%d7%99%d7%95%d7%aa-%d7%9c%d7%90-%d7%9e%d7%94-%d7%a9%d7%97%d7%a9%d7%91%d7%aa/ (16624 bytes)
  [84/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%a0%d7%99-%d7%90%d7%92%d7%99%d7%93-%d7%9c%d7%9a-%d7%9b%d7%a9%d7%96%d7%94-%d7%99%d7%92%d7%9e%d7%a8/ (14179 bytes)
  [85/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%9c%d7%95%d7%94%d7%99%d7%9d-%d7%a8%d7%95%d7%a6%d7%94-%d7%91%d7%99%d7%aa/ (15952 bytes)
  [86/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%a0%d7%99-%d7%90%d7%a1%d7%aa%d7%a8/ (15207 bytes)
  [87/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%a0%d7%99-%d7%91%d7%99%d7%90%d7%9c%d7%99%d7%a7/ (16233 bytes)
  [88/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%a0%d7%99-%d7%a2%d7%99%d7%99%d7%a3/ (11555 bytes)
  [89/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%a0%d7%99-%d7%a2%d7%99%d7%a8%d7%90%d7%a7%d7%99-%d7%a4%d7%99%d7%92%d7%9e%d7%94/ (16752 bytes)
  [90/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%a0%d7%99-%d7%a8%d7%95%d7%90%d7%94-%d7%90%d7%95%d7%aa%d7%9a/ (8561 bytes)
  [91/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%a0%d7%99-%d7%a8%d7%95%d7%a6%d7%94-%d7%9c%d7%96%d7%9b%d7%95%d7%a8-%d7%94%d7%95%d7%90-%d7%a8%d7%95%d7%a6%d7%94-%d7%9c%d7%a9%d7%9b%d7%95%d7%97/ (16812 bytes)
  [92/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%a0%d7%aa%d7%a8%d7%a7%d7%a1/ (15432 bytes)
  [93/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%a0%d7%99-%d7%90%d7%a8%d7%90%d7%94-%d7%90%d7%95%d7%aa%d7%9a-%d7%91%d7%99%d7%aa/ (13980 bytes)
  [94/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%a1%d7%99%d7%94/ (16459 bytes)
  [95/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%a1%d7%99%d7%a1%d7%98/ (15497 bytes)
  [96/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%a1%d7%9e%d7%a8/ (16733 bytes)
  [97/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%a1%d7%a0%d7%a1/ (17220 bytes)
  [98/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%a1%d7%aa%d7%a8/ (13609 bytes)
  [99/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%a3-%d7%9e%d7%99%d7%9c%d7%94-%d7%90%d7%9e%d7%aa/ (15439 bytes)
  [100/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%a4%d7%99%d7%9c%d7%95-%d7%93%d7%a7%d7%94/ (15394 bytes)
  [101/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%a6%d7%9c%d7%a0%d7%95-%d7%91%d7%97%d7%a6%d7%a8/ (13277 bytes)
  [102/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%a7%d7%99%d7%a6%d7%a2%d7%a8/ (19089 bytes)
  [103/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%a0%d7%97%d7%a0%d7%95-%d7%aa%d7%95%d7%a9%d7%91%d7%99-%d7%a9%d7%9b%d7%95%d7%a0%d7%aa-%d7%a1%d7%99%d7%9e%d7%a0%d7%a1/ (18473 bytes)
  [104/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%a8%d7%95%d7%9f-%d7%94%d7%a7%d7%95%d7%93%d7%a9/ (13598 bytes)
  [105/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%a8%d7%99%d7%95%d7%aa-%d7%9e%d7%aa%d7%a2%d7%95%d7%a8%d7%a8%d7%99%d7%9d-%d7%91%d7%a7%d7%99%d7%a5/ (18010 bytes)
  [106/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%a8%d7%99-%d7%95%d7%94%d7%96%d7%a8%d7%a2-%d7%94%d7%a7%d7%93%d7%95%d7%a9/ (12887 bytes)
  [107/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%a1%d7%95%d7%9f-%d7%98%d7%91%d7%a2/ (14276 bytes)
  [108/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%a8%d7%a5-%d7%90%d7%94%d7%95%d7%91%d7%94-%d7%a9%d7%9c%d7%99/ (17870 bytes)
  [109/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%a8%d7%9c%d7%a7%d7%99%d7%a0%d7%95-%d7%9e%d7%90%d7%97%d7%95%d7%a8%d7%99-%d7%94%d7%9e%d7%a1%d7%99%d7%9b%d7%95%d7%aa/ (16916 bytes)
  [110/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%a8%d7%a5-%d7%a2%d7%99%d7%a8/ (17353 bytes)
  [111/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%aa%d7%94-%d7%97%d7%99%d7%99%d7%91-%d7%9c%d7%a2%d7%a9%d7%95%d7%aa-%d7%9e%d7%96%d7%94-%d7%a1%d7%a8%d7%98/ (15075 bytes)
  [112/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%a9%d7%aa-%d7%97%d7%99%d7%9c/ (12161 bytes)
  [113/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%aa%d7%94-%d7%aa%d7%97%d7%99%d7%94-%d7%90%d7%91%d7%9c-%d7%91%d7%99%d7%a9%d7%a8%d7%90%d7%9c/ (15939 bytes)
  [114/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%aa-%d7%9e%d7%a1%d7%9b%d7%99%d7%9e%d7%94-%d7%a9%d7%90%d7%a0%d7%99-%d7%90%d7%a6%d7%9c%d7%9d-%d7%90%d7%95%d7%aa%d7%9a/ (16640 bytes)
  [115/1491] ✓ https://nfct.org.il/blog/movies/%d7%90-%d7%a7%d7%99%d7%a6%d7%a2%d7%a8-2022/ (12657 bytes)
  [116/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%aa-%d7%95%d7%90%d7%a0%d7%99-%d7%95%d7%94%d7%98%d7%91%d7%a2/ (14359 bytes)
